Day of the Week,Start Time,Price Open,Price Close,Price High,Price Low,Volume Traded,Trade Count
,2020-05-08 00:00:00+00:00,38.49,38.69,39.17157,37.62,10118.02064148,1363
,2020-05-09 00:00:00+00:00,38.48,37.98,39.58,37.92,11963.75505706,1174
,2020-05-10 00:00:00+00:00,37.92,34.08,37.92,32.39,39451.16154767,4553
,2020-05-11 00:00:00+00:00,33.93,33.8,35.0,32.0,24077.66995294,1961
,2020-05-12 00:00:00+00:00,33.82,34.42,35.36267,33.71,8025.37750499,961
,2020-05-13 00:00:00+00:00,34.39,35.41,35.94,33.79636,6844.84238743,826
,2020-05-14 00:00:00+00:00,35.5,35.94,36.46277,34.5,9705.76787571,947
,2020-05-15 00:00:00+00:00,35.94,35.21,36.06,34.72,11280.31179549,867
,2020-05-16 00:00:00+00:00,35.33,35.72,36.17,35.29,4639.90780993,486
,2020-05-17 00:00:00+00:00,35.72,36.04,36.75516,35.59,9319.15838807,707
,2020-05-18 00:00:00+00:00,36.19,37.2,38.84,35.82,9861.48322855,1801
,2020-05-19 00:00:00+00:00,37.16,37.44,37.44,36.23,6602.29681551,663
,2020-05-20 00:00:00+00:00,37.37,36.29,37.65998,35.33,17892.02887771,1438
,2020-05-21 00:00:00+00:00,36.23,34.98,36.62,34.1,12588.18342271,1367
,2020-05-22 00:00:00+00:00,35.05,36.43,36.77,34.52937,10689.55613399,1011
,2020-05-23 00:00:00+00:00,36.57,36.18,36.75,36.0,3626.65620079,627
,2020-05-24 00:00:00+00:00,36.18,34.6,36.99997,34.6,8883.76395299,575
,2020-05-25 00:00:00+00:00,34.54,35.32,35.66218,34.38,4806.34739301,541
,2020-05-26 00:00:00+00:00,35.37,34.31,35.37,33.8791,8465.03263296,637
,2020-05-27 00:00:00+00:00,34.35,35.83,36.11194,34.28,5886.87860437,550
,2020-05-28 00:00:00+00:00,35.82,36.29,36.48782,35.23,6165.81397875,579
,2020-05-29 00:00:00+00:00,36.4,36.11,36.67,35.61606,5297.30210197,622
,2020-05-30 00:00:00+00:00,36.07,38.54,38.82,34.84,12863.53897081,1032
,2020-05-31 00:00:00+00:00,38.54,37.18,38.6,36.44601,8600.69227813,598
,2020-06-01 00:00:00+00:00,36.85,38.51,39.2,36.85,7512.32481029,791
,2020-06-02 00:00:00+00:00,38.58,36.69,39.97224,35.4,28930.11188123,1709
,2020-06-03 00:00:00+00:00,36.64,37.5,37.77645,36.08,7557.7415354,703
,2020-06-04 00:00:00+00:00,37.61,37.69,38.42708,37.09,8606.73711132,647
,2020-06-05 00:00:00+00:00,37.71,37.21,38.2501,36.68,7617.13443535,600
,2020-06-06 00:00:00+00:00,37.01,37.04,37.45556,36.53,6228.07041828,487
,2020-06-07 00:00:00+00:00,36.95,36.72,37.14,35.76,9937.64419233,703
,2020-06-08 00:00:00+00:00,36.82,36.6,36.96,34.99827,4447.11420669,473
,2020-06-09 00:00:00+00:00,36.74,36.24,36.95448,35.54365,8953.36428683,609
,2020-06-10 00:00:00+00:00,36.17,36.71,38.028,35.85,4667.09778817,579
,2020-06-11 00:00:00+00:00,36.8,34.5,38.49958,33.39,19953.55023757,1684
,2020-06-12 00:00:00+00:00,34.34,35.73,36.31796,34.13,4878.03996811,565
,2020-06-13 00:00:00+00:00,35.73,36.07,36.1,35.4,2990.18649615,363
,2020-06-14 00:00:00+00:00,36.06,35.28,36.06,34.93,2414.11929442,334
,2020-06-15 00:00:00+00:00,35.08,34.7,35.29,33.58,7560.29579565,640
,2020-06-16 00:00:00+00:00,34.71,34.92,35.05847,34.39,4129.25333885,489
,2020-06-17 00:00:00+00:00,34.94,35.11,36.09224,34.45,6082.91118228,429
,2020-06-18 00:00:00+00:00,35.16,35.03,35.41946,34.57,3642.76261786,354
,2020-06-19 00:00:00+00:00,34.96,34.69,35.65871,34.54,5793.82370727,559
